Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
8F3094001826,Allyl Caproate C6 from SimpleScentsDIY,123-68-2,0.124,,,,,,Not Listed,REMOVED
8F3094001704,Allyl Heptylate from SimpleScentsDIY,142-19-8,0.103,,,,,,Not Listed,REMOVED
8F3094001290,Alpha Ionone from SimpleScentsDIY,127-41-3,0.165,,,,,,Not Listed,REMOVED
8F3094005333,Alpha-Pinene from SimpleScentsDIY,80-56-8,0.124,,,,,,Not Listed,REMOVED
8F3094001701,Amber Core from SimpleScentsDIY,139504-68-0,0.175,,,,,,Not Listed,REMOVED
8F3094001890,Ambermax 50% Dowanol TPM from SimpleScentsDIY,929625-08-1,1.082,,,,,,Not Listed,REMOVED
8F3094001647,Ambermor DL (Cetalox) 10% in DPG from SimpleScentsDIY,,0.371,,,,,,Not Listed,REMOVED
8F3094001658,Ambermor DL (Semi Solid) from SimpleScentsDIY,3738-00-9,2.318,,,,,,Not Listed,REMOVED
8F3094004205,Amberwood F from SimpleScentsDIY,58567-11-6,0.185,,,,,,Not Listed,REMOVED
8F3094001556,Ambrettolide from SimpleScentsDIY,28645-51-4,1.546,,,,,,Not Listed,REMOVED
8F3094004161,Ambrinol from SimpleScentsDIY,41199-19-3,12.365,,,,,,Not Listed,REMOVED
8F3094001659,Ambrocenide (Powder) from SimpleScentsDIY,211299-54-6,3.091,,,,,,Not Listed,REMOVED
8F3094001654,Ambrocenide 10% in DPG from SimpleScentsDIY,,0.495,,TRUE,Ambrocenide (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001561,Ambroxan (Powder) from SimpleScentsDIY,6790-58-5,2.349,,,,,,Not Listed,REMOVED
