Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
1UW16861,Ambrofix from PerfumersWorld,PerfumersWorld,6790-58-5,,1.87,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1UW16861
1UW00035,Ambrox Super from PerfumersWorld,PerfumersWorld,6790-58-5,,1.50,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1UW00035
5UW20027,Ambrox Super 10% in DPG from PerfumersWorld,PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",,0.20,,TRUE,Ambrox Super from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5UW20027
1UW00036,Ambroxan from PerfumersWorld,PerfumersWorld,6790-58-5,,2.52,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1UW00036
5UW07540,Ambroxan 10% in DPG from PerfumersWorld,PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",,0.37,,TRUE,Ambroxan from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5UW07540
3JJ00005,Amyl Cinnamic Aldehyde (ACA) from PerfumersWorld,PerfumersWorld,122-40-7,,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3JJ00005
3OH00037,Amyl Salicylate from PerfumersWorld,PerfumersWorld,2050-08-0,,0.14,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3OH00037
4FD06346,Amyl Valerate from PerfumersWorld,PerfumersWorld,2173-56-0,,0.95,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FD06346
7WX00917,Amyris Essential Oil from PerfumersWorld,PerfumersWorld,8015-65-4,,0.82,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=7WX00917
4SB00038,Anethole from PerfumersWorld,PerfumersWorld,4180-23-8,,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4SB00038
6DU18084,ANIMALISSIMO F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.16,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6DU18084
6DU12415,Animalissio Blender Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6DU12415
3NV00040,Anisaldehyde from PerfumersWorld,PerfumersWorld,123-11-5,,0.26,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3NV00040
